location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
India,19-09-2020,5308014,93337,92575.714,85619,1247,1163.857,3745.494,65.861,65.324,60.415,0.88,0.821
India,20-09-2020,5400619,92605,92323.286,86752,1133,1166.571,3810.839,65.345,65.146,61.215,0.799,0.823
India,21-09-2020,5487580,86961,91593.286,87882,1130,1165.714,3872.202,61.362,64.631,62.012,0.797,0.823
India,22-09-2020,5562663,75083,90346.714,88935,1053,1165.571,3925.182,52.981,63.751,62.755,0.743,0.822
India,23-09-2020,5646010,83347,89378.714,90020,1085,1136.286,3983.995,58.812,63.068,63.521,0.766,0.802
India,24-09-2020,5732518,86508,87752.143,91149,1129,1135.857,4045.037,61.043,61.921,64.317,0.797,0.801
India,25-09-2020,5818570,86052,86270.429,92290,1141,1131.143,4105.758,60.721,60.875,65.123,0.805,0.798
India,26-09-2020,5903932,85362,85131.143,93379,1089,1108.571,4165.992,60.234,60.071,65.891,0.768,0.782
India,27-09-2020,5992532,88600,84559,94503,1124,1107.286,4228.511,62.519,59.667,66.684,0.793,0.781
India,28-09-2020,6074702,82170,83874.571,95542,1039,1094.286,4286.493,57.982,59.184,67.417,0.733,0.772
India,29-09-2020,6145291,70589,83232.571,96318,776,1054.714,4336.302,49.81,58.731,67.965,0.548,0.744
India,30-09-2020,6225763,80472,82821.857,97497,1179,1068.143,4393.086,56.783,58.442,68.797,0.832,0.754
India,01-10-2020,6312584,86821,82866.571,98678,1181,1075.571,4454.349,61.264,58.473,69.63,0.833,0.759
India,02-10-2020,6394068,81484,82214,99773,1095,1069,4511.847,57.498,58.013,70.403,0.773,0.754
India,03-10-2020,6473544,79476,81373.143,100842,1069,1066.143,4567.927,56.081,57.419,71.157,0.754,0.752
India,04-10-2020,6549373,75829,79548.714,101782,940,1039.857,4621.435,53.507,56.132,71.82,0.663,0.734
India,05-10-2020,6623815,74442,78444.714,102685,903,1020.429,4673.963,52.529,55.353,72.458,0.637,0.72
India,06-10-2020,6685082,61267,77113,103569,884,1035.857,4717.195,43.232,54.413,73.081,0.624,0.731
India,07-10-2020,6757131,72049,75909.714,104555,986,1008.286,4768.035,50.84,53.564,73.777,0.696,0.711
India,08-10-2020,6835655,78524,74724.429,105526,971,978.286,4823.444,55.409,52.728,74.462,0.685,0.69
India,09-10-2020,6906151,70496,73154.714,106490,964,959.571,4873.188,49.744,51.62,75.143,0.68,0.677
India,10-10-2020,6979423,73272,72268.429,107416,926,939.143,4924.891,51.703,50.995,75.796,0.653,0.663
India,11-10-2020,7053806,74383,72061.857,108334,918,936,4977.378,52.487,50.849,76.444,0.648,0.66
India,12-10-2020,7120538,66732,70960.429,109150,816,923.571,5024.466,47.088,50.072,77.02,0.576,0.652
India,13-10-2020,7175880,55342,70114,109856,706,898.143,5063.517,39.051,49.475,77.518,0.498,0.634
India,14-10-2020,7239389,63509,68894,110586,730,861.571,5108.331,44.814,48.614,78.033,0.515,0.608
India,15-10-2020,7307097,67708,67348.857,111266,680,820,5156.108,47.777,47.523,78.513,0.48,0.579
India,16-10-2020,7370468,63371,66331,112161,895,810.143,5200.824,44.716,46.805,79.144,0.632,0.572
India,17-10-2020,7432680,62212,64751,112998,837,797.429,5244.723,43.899,45.69,79.735,0.591,0.563
India,18-10-2020,7494551,61871,62963.571,114031,1033,813.857,5288.381,43.658,44.429,80.464,0.729,0.574
India,19-10-2020,7550273,55722,61390.714,114610,579,780,5327.7,39.319,43.319,80.872,0.409,0.55
India,20-10-2020,7597063,46790,60169,115197,587,763,5360.716,33.016,42.457,81.286,0.414,0.538
India,21-10-2020,7651107,54044,58816.857,115914,717,761.143,5398.851,38.135,41.503,81.792,0.506,0.537
India,22-10-2020,7706946,55839,57121.286,116616,702,764.286,5438.253,39.402,40.306,82.288,0.495,0.539
India,23-10-2020,7761312,54366,55834.857,117306,690,735,5476.615,38.362,39.399,82.775,0.487,0.519
